"localName","numberOfReviews","website","locationString","image","address"
"المسجد النبوي","2366","http://wmn.gov.sa","المدينة المنورة, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-o/11/a8/5e/e4/masjid-al-nabvi.jpg","‪Masjid Nabawi‬ Central Madina, المدينة المنورة 41412 المملكة العربية السعودية"
"‪Station of Ibrahim‬","181",,"مكة المكرمة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/0e/35/2b/7d/station-of-ibrahim.jpg","‪Al Haram Road‬, مكة المكرمة 24231 المملكة العربية السعودية"
"‪Diriyah‬","337","http://www.diriyah.sa/","الدرعية, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-o/2b/5d/23/30/with-the-city-of-earth.jpg","الدرعية المملكة العربية السعودية"
"Old Town of AlUla","77","http://www.experiencealula.com/en/places-to-go/alula-old-town","العلا, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/73/0c/cc/the-house-of-900-houses.jpg","‪375 Route‬, العلا 43562 المملكة العربية السعودية"
"‪Al Rahma Mosque‬","431",,"جدة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/0e/dd/d2/b3/caption.jpg","‪6826 Corniche Rd‬, جدة 23613 المملكة العربية السعودية"
"‪Al Rajhi Mosque‬","327",,"الرياض, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-o/0d/eb/d5/93/al-rajhi-grand-mosque.jpg","‪Al Akheyar, Al Jazirah‬, الرياض 14257 المملكة العربية السعودية"
"‪Biet Nassif‬","183",,"جدة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-m/1280/16/c2/41/75/photo0jpg.jpg","مركز المدينة القديمة Balad, جدة المملكة العربية السعودية"
"‪National Museum‬","711","https://www.facebook.com/SaudiMuseum/","الرياض, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-o/11/d7/4c/ab/entrance.jpg","‪8745 King Saud Rd, 2722 King Faisal Road‬ King Abdulaziz Historical Center, الرياض 11481 المملكة العربية السعودية"
"‪Jabal-e-Rehmat‬","55","http://www.pv.gov.sa","مكة المكرمة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/05/50/90/1c/this-is-the-tanaim-place.jpg","مكة المكرمة 24256 المملكة العربية السعودية"
"الحجر الأسود","922",,"مكة المكرمة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/0d/e7/fd/51/photo0jpg.jpg","مكة المكرمة المملكة العربية السعودية"
"المسجد الحرام","1348",,"مكة المكرمة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/f2/45/30/in-front-of-masjid-al.jpg","‪Al Haram Rd‬, مكة المكرمة 24231 المملكة العربية السعودية"
"مسجد التنعيم","276",,"مكة المكرمة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/0e/43/5c/60/menara-masjid-taneem.jpg","‪Al Hil‬, مكة المكرمة المملكة العربية السعودية"
"‪Harrat Viewpoint‬","14","http://www.experiencealula.com/en/places-to-go/harrat-viewpoint","العلا, منطقة المدينة المنورة","https://media-cdn.tripadvisor.com/media/photo-m/1280/29/c2/38/fa/my-wife-and-daughter.jpg","‪Harrat Viewpoint‬, العلا المملكة العربية السعودية"
"‪Hassan Enany Mosque‬","26",,"جدة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/0f/d1/9b/91/hassan-enany-mosque.jpg","‪Al Kurnaysh Rd,‬, جدة المملكة العربية السعودية"
"مسجد بلال","34",,"مكة المكرمة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-m/1280/13/bf/14/5b/bilal-masjid-16.jpg","‪Al Madaris‬, مكة المكرمة 24225 المملكة العربية السعودية"
"‪Riyadh Season Boulevard‬","29","https://riyadhseason.sa/en","الرياض, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/89/c9/87/caption.jpg","طريق الأمير تركي بن عبدالعزيز الأول, الرياض 13516 المملكة العربية السعودية"
"‪Imam Turki Bin Abdullah Grand Mosque‬","60",,"الرياض, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-o/08/02/79/3a/getlstd-property-photo.jpg","‪Al Imam Turki Ibn Abdullah Ibn Muhammad‬, الرياض المملكة العربية السعودية"
"مسجد الجفالي","27",,"جدة, منطقة مكة المكرمة","https://media-cdn.tripadvisor.com/media/photo-o/17/43/b3/9c/the-mosque.jpg","طريق المدينة المنورة, جدة 22235 المملكة العربية السعودية"
"حي الطريف التاريخي","48","http://www.diriyah.sa/at-turaif","الدرعية, منطقة الرياض","https://media-cdn.tripadvisor.com/media/photo-m/1280/16/4d/ed/46/authentic-old-city.jpg","‪Wadi Hanifah‬, الدرعية 13711 المملكة العربية السعودية"
"‪Jawatha Mosque‬","21",,"الهفوف, الأحساء, المنطقة الشرقية","https://media-cdn.tripadvisor.com/media/photo-o/12/14/99/bf/jawatha-mosque.jpg","الهفوف, الأحساء المملكة العربية السعودية"
